fecha,remesas,tipo_cambio
1995-01,254.5724,5.6253
1995-02,248.0605,5.6695
1995-03,287.3645,6.7722
1995-04,298.9135,6.2064
1995-05,357.7396,5.9861
1995-06,352.3695,6.2269
1995-07,342.8993,6.125
1995-08,362.2739,6.2055
1995-09,314.1492,6.3134
1995-10,324.5033,6.7498
1995-11,255.5922,7.7056
1995-12,274.2883,7.6807
1996-01,313.5091,7.476
1996-02,281.9257,7.524
1996-03,337.3185,7.5687
1996-04,393.3877,7.4617
1996-05,413.542,7.4326
1996-06,365.2451,7.5604
1996-07,373.6705,7.6206
1996-08,386.0666,7.5115
1996-09,339.2533,7.544
1996-10,348.901,7.7263
1996-11,315.6016,7.906
1996-12,355.2609,7.8741
1997-01,338.6477,7.827
1997-02,331.5918,7.8003
1997-03,381.9072,7.9647
1997-04,425.5386,7.9074
1997-05,486.6894,7.9006
1997-06,453.5596,7.9502
1997-07,441.6863,7.8722
1997-08,428.9022,7.7828
1997-09,431.4678,7.7805
1997-10,421.6681,7.8603
1997-11,343.4307,8.2689
1997-12,379.755,8.1219
1998-01,382.5317,8.2177
1998-02,366.3982,8.5014
1998-03,427.1949,8.5676
1998-04,439.995,8.4965
1998-05,520.3739,8.5934
1998-06,503.4876,8.9131
1998-07,494.3256,8.896
1998-08,486.607,9.3633
1998-09,476.2905,10.2307
1998-10,454.6739,10.1536
1998-11,460.6924,9.9682
1998-12,614.271,9.9057
1999-01,399.6423,10.1351
1999-02,388.8511,9.9939
1999-03,464.8977,9.7316
1999-04,469.1828,9.4185
1999-05,571.562,9.4105
1999-06,521.9225,9.5139
1999-07,506.6642,9.3657
1999-08,532.0997,9.3966
1999-09,490.4829,9.3358
1999-10,474.5069,9.5667
1999-11,502.0073,9.3988
1999-12,587.7353,9.4249
2000-01,456.2456,9.4878
2000-02,447.187,9.4252
2000-03,494.4502,9.2876
2000-04,498.8308,9.3903
2000-05,590.7496,9.5158
2000-06,541.5775,9.8295
2000-07,557.598,9.4212
2000-08,608.0612,9.2709
2000-09,568.5493,9.354
2000-10,559.5235,9.5314
2000-11,583.1218,9.5004
2000-12,666.8485,9.4662
2001-01,654.982,9.7766
2001-02,637.6737,9.7045
2001-03,718.055,9.6006
2001-04,734.8058,9.3268
2001-05,798.2438,9.1372
2001-06,747.837,9.0867
2001-07,796.5951,9.1618
2001-08,789.3075,9.1308
2001-09,772.0803,9.4189
2001-10,792.8295,9.345
2001-11,693.8224,9.2236
2001-12,759.0318,9.1561
2002-01,711.043,9.1616
2002-02,718.865,9.0998
2002-03,744.527,9.0707
2002-04,805.872,9.1629
2002-05,912.205,9.5192
2002-06,860.003,9.7652
2002-07,843.0738,9.7808
2002-08,849.1376,9.8396
2002-09,860.5997,10.0714
2002-10,848.283,10.095
2002-11,741.438,10.1974
2002-12,919.401,10.2249
2003-01,1051.2547,10.6203
2003-02,979.7597,10.9372
2003-03,1139.1124,10.9124
2003-04,1202.5097,10.5917
2003-05,1350.9669,10.2512
2003-06,1351.1707,10.5047
2003-07,1361.362,10.4502
2003-08,1401.2462,10.7811
2003-09,1365.5085,10.9269
2003-10,1391.0112,11.1748
2003-11,1203.7084,11.145
2003-12,1341.0761,11.2486
2004-01,1081.8635,10.9151
2004-02,1171.7737,11.0142
2004-03,1480.224,11.0094
